client_id,mcc,transaction_count,total_amount
0,1711,5,290.47
0,3000,3,1424.67
0,3001,4,1996.9099999999999
0,3005,1,694.53
0,3006,2,2064.63
0,3007,2,1726.4099999999999
0,3008,1,1009.88
0,3058,8,4813.15
0,3066,4,2298.67
0,3132,8,4187.53
0,3144,1,1124.67
0,3174,1,447.15
0,3256,4,2073.9900000000002
0,3260,4,2267.63
0,3359,18,924.8199999999999
0,3387,15,933.92
0,3389,18,856.1399999999999
0,3390,18,937.79
0,3393,10,476.56000000000006
0,3395,5,469.68999999999994
0,3405,16,1007.48
0,3504,36,1661.43
0,3509,24,1078.88
0,3596,19,1232.92
0,3640,25,1186.93
0,3684,47,2671.0
0,3722,25,1116.5800000000002
0,3730,25,1421.35
0,3771,20,1042.37
0,3775,7,458.81999999999994
0,3780,31,1714.27
0,4112,1,479.45
0,4121,523,12647.44
0,4214,140,3213.68
0,4511,6,2862.64
0,4722,46,7351.18
0,4814,285,27802.98
0,4829,249,33189.4
0,4899,50,5861.3
0,4900,287,41213.43
0,5045,10,3382.77
0,5094,1,73.46
0,5193,20,1182.15
0,5211,235,10360.85
0,5251,10,350.75
0,5300,460,33544.97
0,5310,337,22497.42
0,5311,559,36767.08
0,5411,606,27950.94
0,5499,910,16860.19
0,5541,865,23260.05
0,5621,4,386.69
0,5651,37,2978.89
0,5655,10,1373.84
0,5661,16,2591.2599999999998
0,5712,8,2984.88
0,5719,151,8351.45
0,5732,25,8089.93
0,5812,1845,15232.53
0,5813,1931,105047.79
0,5814,945,7872.6
0,5815,1,15.2
0,5816,12,3940.28
0,5912,500,22564.29
0,5942,185,6715.87
0,5947,1,12.08
0,5970,114,5403.35
0,6300,7,2382.27
0,7011,30,1633.77
0,7230,119,6939.53
0,7349,51,2261.49
0,7393,10,498.71
0,7538,432,37048.23
0,7542,55,1249.8
0,7801,1,87.08
0,7832,80,2190.52
0,7996,12,2593.56
0,8011,28,3903.57
0,8021,27,7970.11
0,8041,2,246.91
0,8043,5,372.68
0,8049,2,206.60000000000002
0,8062,3,2743.85
0,8099,3,322.8
0,9402,136,3123.89
1,1711,5,549.58
1,3001,2,1317.28
1,3006,1,909.53
1,3058,1,630.2
1,3066,1,512.66
1,3075,1,937.15
1,3132,1,494.69
1,3174,3,2040.28
1,3256,1,575.27
1,3260,1,718.75
1,3359,4,342.33
1,3389,3,160.49
1,3390,3,151.7
1,3395,6,287.97
1,3405,6,350.2
1,3504,3,227.69
1,3596,3,179.39
1,3640,9,630.9399999999999
1,3684,9,554.03
1,3722,18,1252.46
1,3771,3,251.15
1,3775,3,157.6
1,4112,2,719.63
1,4121,6004,88160.06
1,4511,1,609.35
1,4722,3,268.39
1,4784,43,2313.42
1,4814,206,25710.77
1,4829,479,24257.29
1,4899,53,7565.95
1,4900,122,17536.67
1,5045,1,22.7
1,5094,3,85.31
1,5211,64,2860.44
1,5251,36,1162.55
1,5261,2,106.38
1,5300,230,14223.61
1,5310,78,2274.48
1,5311,183,9403.59
1,5411,257,12021.289999999999
1,5499,174,2180.4
1,5533,4,1774.03
1,5541,291,8580.22
1,5651,33,1234.33
1,5655,12,613.5699999999999
1,5661,22,1235.06
1,5712,3,811.6999999999999
1,5719,21,934.23
1,5732,4,186.5
1,5812,379,20090.2
1,5813,221,1475.58
1,5814,197,9570.08
1,5912,212,13049.21
1,5921,4,77.1
1,5932,1,72.93
1,5942,22,661.79
1,5947,2,18.48
1,5970,14,602.76
1,7011,3,202.89
1,7230,161,13170.99
1,7276,4,821.55
1,7531,5,1775.71
1,7538,200,12777.09
1,7542,23,448.49
1,7549,2,578.71
1,7832,62,1775.7
1,7922,39,2881.0
1,7996,2,245.04000000000002
1,8011,1,70.51
1,8021,79,11656.08
1,8041,4,578.14
1,8043,2,321.26
1,8049,1,127.04
1,8099,5,59.63
1,8111,6,2187.98
1,8931,4,808.1700000000001
2,1711,1,94.08
2,3000,1,519.02
2,3066,1,510.97
2,3132,1,344.68
2,3256,1,409.82
2,3359,3,133.49
2,3389,1,170.11
2,3405,3,148.96
2,3504,3,145.02999999999997
2,3509,3,236.72000000000003
2,3596,3,198.04
2,3640,3,175.46
2,3684,6,306.71000000000004
2,3722,3,190.08
2,3730,1,220.58
2,4111,121,7882.6900000000005
2,4131,2,116.2
2,4214,1374,14794.34
2,4511,1,298.3
2,4722,6,352.57000000000005
2,4814,179,13184.56
2,4829,123,7080.0
2,4899,59,6287.49
2,4900,189,19793.71
2,5045,2,135.16
2,5192,107,3969.22
2,5193,12,421.68
2,5211,367,10117.26
2,5251,2,3.1399999999999997
2,5300,783,23915.98
2,5310,426,11290.43
2,5311,819,23092.89
2,5411,672,23249.21
2,5499,693,5288.0599999999995
2,5533,4,884.6300000000001
2,5541,877,11398.05
2,5621,8,296.7
2,5651,26,1078.87
2,5655,9,327.85
2,5712,2,272.48
2,5719,199,5672.71
2,5722,1,201.21
2,5732,1,16.35
2,5733,2,439.21000000000004
2,5815,119,619.73
2,5912,764,22517.36
2,5921,4,25.94
2,5942,148,4241.25
2,5947,6,44.59
2,5970,187,5010.19
2,5977,52,39.3
2,6300,114,18536.48
2,7210,36,642.88
2,7230,160,4504.72
2,7276,24,3171.81
2,7349,46,1437.83
2,7531,1,260.57
2,7538,423,11300.38
2,7832,1,63.37
2,8011,9,2533.04
2,8021,4,201.46
2,8041,5,831.86
2,8043,6,717.1600000000001
2,8049,1,151.06
2,8099,5,579.13
2,8931,29,3673.13
2,9402,1368,14766.33
3,1711,5,406.78000000000003
3,3000,1,778.75
3,3132,3,2206.4
3,3144,1,500.19
3,3260,1,990.2
3,3393,3,202.13
3,3504,4,362.62
3,3509,3,200.99
3,3596,6,343.09000000000003
3,3684,3,145.14999999999998
3,3771,3,100.03
3,3775,1,148.45
3,3780,6,260.37
3,4111,116,7768.23
3,4112,2,170.91
3,4511,1,662.64
3,4722,7,766.24
3,4814,52,5582.74
3,4829,3,226.44
3,4900,258,15240.0
3,5045,1,48.74
3,5094,1,248.09
3,5193,30,1263.49
3,5211,26,327.21999999999997
3,5251,1,151.83
3,5300,1063,52162.54
3,5310,116,1169.62
3,5311,590,27310.38
3,5411,966,46419.32
3,5499,81,791.39
3,5541,570,26204.64
3,5621,9,225.26
3,5651,50,785.46
3,5655,11,275.95
3,5661,7,17.68
3,5712,1,48.98
3,5719,29,489.5
3,5732,2,92.58000000000001
3,5812,69,2415.51
3,5814,33,1155.54
3,5815,133,3608.99
3,5816,3,86.66
3,5912,987,47902.02
3,5921,22,334.85
3,5932,1,248.2
3,5942,17,184.43
3,5970,19,334.53000000000003
3,5977,1,4.07
3,6300,48,5921.45
3,7011,3,104.19
3,7230,130,4642.14
3,7349,52,1464.27
3,7538,382,12785.84
3,7832,27,924.73
3,7922,1,1.9
3,7995,1,109.12
3,8011,3,622.9
3,8021,14,1597.87
3,8043,10,470.08
3,8099,9,92.2
3,8111,2,562.1600000000001
3,9402,1,16.79
4,1711,3,458.12
4,3000,2,135.51999999999998
4,3001,2,88.96000000000001
4,3007,2,1997.2600000000002
4,3058,6,1448.45
4,3066,5,371.07
4,3075,1,879.22
4,3132,4,239.61
4,3174,3,205.45
4,3256,4,309.49
4,3359,20,1274.92
4,3389,2,410.99
4,3390,13,797.03
4,3395,20,1308.37
4,3405,11,771.74
4,3504,32,2934.27
4,3509,12,841.91
4,3596,11,1051.24
4,3640,13,1290.64
4,3684,19,1418.07
4,3722,19,1857.3
4,3730,9,787.44
4,3771,18,1478.54
4,3775,18,1883.48
4,3780,10,957.4300000000001
4,4121,1,0.13
4,4131,7,721.87
4,4214,48,176.0
4,4411,1,1265.9
4,4511,5,1192.16
4,4722,29,3615.46
4,4814,276,23294.23
4,4829,246,27600.0
4,4899,79,14348.5
4,4900,253,42974.91
4,5045,4,249.55
4,5094,5,407.98
4,5193,16,1385.89
4,5211,95,3785.7
4,5251,31,942.82
4,5300,241,14961.26
4,5310,84,5026.13
4,5311,222,13858.65
4,5411,2162,33819.15
4,5499,1084,4866.31
4,5533,10,4074.61
4,5541,1201,6332.86
4,5621,15,1804.13
4,5651,50,5336.39
4,5655,15,1875.94
4,5661,7,844.76
4,5712,4,1560.76
4,5719,48,3846.27
4,5722,2,873.29
4,5732,8,607.31
4,5733,1,541.75
4,5812,2583,94446.14
4,5813,1959,59026.46
4,5814,1307,46824.52
4,5816,10,970.6
4,5912,973,25499.79
4,5921,23,355.97
4,5932,1,754.72
4,5941,13,1026.63
4,5942,715,13763.69
4,5947,1,1.89
4,5970,33,1579.57
4,5977,4,52.93
4,6300,109,32366.63
4,7011,32,2679.08
4,7210,12,347.92
4,7230,118,8181.19
4,7349,63,2349.6
4,7531,9,3763.45
4,7538,282,27773.82
4,7542,76,110.08
4,7549,5,1593.6399999999999
4,7801,3,608.62
4,7802,2,518.69
4,7832,93,3761.48
4,7922,1,154.28
4,7995,8,1873.3799999999999
4,7996,2,147.89000000000001
4,8011,8,1353.42
4,8021,3,702.6
4,8041,10,2012.04
4,8043,8,1517.61
4,8049,10,1800.92
4,8062,5,7232.01
4,8099,9,1120.47
4,8111,5,1918.28
4,9402,39,145.16
5,3000,2,2137.24
5,3001,2,2621.57
5,3058,1,1374.79
5,3066,3,2415.05
5,3132,1,1371.35
5,3174,2,2763.16
5,3256,2,2363.09
5,3260,2,2448.5
5,3387,6,554.1400000000001
5,3389,9,648.79
5,3390,9,842.8199999999999
5,3393,3,206.45
5,3395,1,276.79
5,3405,10,884.91
5,3504,12,867.6700000000001
5,3509,6,224.3
5,3596,10,1248.52
5,3640,22,2176.94
5,3684,18,1567.84
5,3722,21,1706.14
5,3730,3,195.28
5,3771,15,1652.41
5,3775,9,841.1700000000001
5,3780,16,1319.79
5,4111,25,1727.83
5,4112,2,397.71000000000004
5,4121,1,46.74
5,4131,5,425.32
5,4511,1,777.26
5,4722,16,1228.99
5,4784,41,668.36
5,4814,195,23810.38
5,4829,510,19433.91
5,4899,51,15035.18
5,4900,381,55111.54
5,5045,4,162.1
5,5094,10,21.2
5,5193,2,357.62
5,5211,43,1197.05
5,5251,17,432.01
5,5261,6,191.51999999999998
5,5300,155,8226.39
5,5310,126,3604.86
5,5311,184,8356.36
5,5411,97,6444.16
5,5499,458,6348.78
5,5533,1,7.47
5,5541,590,10881.47
5,5621,4,354.59000000000003
5,5651,39,1335.36
5,5655,5,375.90999999999997
5,5661,4,299.32
5,5712,2,911.6199999999999
5,5719,40,1854.1
5,5732,11,662.83
5,5812,77,4300.94
5,5813,1,41.41
5,5814,54,2956.12
5,5815,121,969.87
5,5816,6,457.19
5,5912,129,6593.48
5,5921,134,933.63
5,5941,2,84.03999999999999
5,5942,17,643.59
5,5947,13,165.22
5,5970,32,698.73
5,5977,4,33.0
5,6300,5,635.88
5,7011,4,512.58
5,7210,32,253.85
5,7230,90,4117.84
5,7349,59,2210.57
5,7531,1,375.41
5,7538,344,7144.7300000000005
5,7549,3,1187.1599999999999
5,7832,144,5019.43
5,7922,32,1270.3
5,7995,1,92.61
5,8011,29,4031.93
5,8021,116,19329.82
5,8041,25,4312.77
5,8043,32,5699.35
5,8049,23,4255.96
5,8062,3,3641.0699999999997
5,8099,28,4822.72
5,8111,5,2714.75
11,1711,6,970.01
11,3000,2,2047.13
11,3001,3,3733.04
11,3009,1,925.44
11,3058,4,4527.0
11,3066,1,1406.5
11,3075,2,1790.23
11,3132,1,1384.51
11,3144,1,676.09
11,3174,4,5214.83
11,3256,1,854.54
11,3260,5,5903.63
11,3359,18,1110.0
11,3387,19,1443.27
11,3389,5,492.99
11,3390,13,797.3399999999999
11,3393,3,175.56
11,3395,6,385.10999999999996
11,3405,7,640.3600000000001
11,3504,15,733.1
11,3509,25,1329.73
11,3596,26,1684.1
11,3640,19,1124.54
11,3684,32,1744.9999999999998
11,3722,16,1287.9
11,3730,16,945.7
11,3771,25,1700.86
11,3775,16,1011.6999999999999
11,3780,18,1288.6499999999999
11,4112,4,1747.8500000000001
11,4121,47,1020.33
11,4131,4,426.75
11,4511,3,3656.84
11,4722,23,3790.81
11,4814,175,30385.97
11,4829,29,5360.0
11,4899,67,11744.09
11,4900,241,24997.170000000002
11,5094,1,1.17
11,5193,6,351.69
11,5211,76,3286.35
11,5251,17,596.65
11,5300,339,26010.69
11,5310,187,7928.36
11,5311,270,19445.58
11,5411,1236,34481.72
11,5499,183,4390.83
11,5533,1,739.97
11,5541,736,20430.03
11,5621,1,42.61
11,5651,15,954.57
11,5655,6,489.15
11,5661,13,1038.03
11,5712,15,4150.8
11,5719,41,2008.3
11,5732,1,100.73
11,5812,2975,117455.81
11,5814,1484,58959.71
11,5815,2,146.81
11,5912,304,17916.0
11,5932,8,147.6
